mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,participant,session,date,expName,psychopyVersion,OS,frameRate
,,,,,,,,0,0,0,5,1,stimuli copy/chuttersnap-6ELMRvIuJ1g-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
132.3505859,-42.5020752,1,0,0,2.1158,image,,0,1,1,3,1,stimuli copy/arjun-kapoor-Om3JbZp3CCo-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
-210.111084,-160.6425171,1,0,0,2.2629,image,,0,2,2,13,1,stimuli copy/gritt-zheng-K88BVN6yMrU-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
21.609375,188.3532104,1,0,0,2.8945,image,,0,3,3,10,1,stimuli copy/diego-ph-xW42e724p00-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
9.661010742,-20.10491943,1,0,0,1.9435,image,,0,4,4,25,1,stimuli copy/michel-kimkongrath-EWpsHYyDL34-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
60.75146484,-104.4793701,1,0,0,1.9972,image,,0,5,5,24,1,stimuli copy/max-saeling-ymfYqeKN-FU-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
-120.2001953,33.30178833,1,0,0,2.396,image,,0,6,6,19,1,stimuli copy/library-of-congress-VFTxZaIsDAs-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
30.01989746,-77.57336426,1,0,0,1.7773,image,,0,7,7,23,1,stimuli copy/mathew-schwartz-3z56aMRpjJ0-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
15.03271484,10.41268921,1,0,0,1.9958,image,,0,8,8,8,1,stimuli copy/darya-sev-QRdX9dO8poY-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
11.18804932,16.13415527,1,0,0,1.897,image,,0,9,9,18,1,stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
13.82977295,-17.253479,1,0,0,1.6981,image,,0,10,10,9,1,stimuli copy/dave-hoefler-oi65oz2xNag-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
38.0322876,-47.26373291,1,0,0,1.4451,image,,0,11,11,21,1,stimuli copy/mae-mu-KXq1wGn_OXI-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
13.8571167,15.12762451,1,0,0,1.614,image,,0,12,12,15,1,stimuli copy/jake-remy-QBAMncfwXr8-unsplash.jpeg,MARA :D,001,2022-04-19_12h25.12.397,9.60trial3,2021.2.3,MacIntel,60.04202942
