mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,participant,session,date,expName,psychopyVersion,OS,frameRate
-15.49700928,186.752594,1,0,0,1.7897,image,,0,0,0,16,1,stimuli copy/james-haworth-Hm7BtNRT6eE-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
-133.2652588,19.91052246,1,0,0,2.4025,image,,0,1,1,13,1,stimuli copy/gritt-zheng-K88BVN6yMrU-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
-57.95483398,-0.231445313,1,0,0,1.9355,image,,0,2,2,10,1,stimuli copy/diego-ph-xW42e724p00-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
-25.4909668,-131.2357178,1,0,0,2.3191,image,,0,3,3,19,1,stimuli copy/library-of-congress-VFTxZaIsDAs-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
-42.71716309,98.88873291,1,0,0,2.5762,image,,0,4,4,6,1,stimuli copy/daniel-mirlea-w4lzk2_Yasc-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
111.4613037,-23.57086182,1,0,0,2.573,image,,0,5,5,2,1,stimuli copy/anthony-intraversato-xr43RescWSA-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
133.2626953,-63.76318359,1,0,0,4.5845,image,,0,6,6,12,1,stimuli copy/eberhard-grossgasteiger-fTlXjG24mQ0-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
9.74395752,-25.85784912,1,0,0,2.6158,image,,0,7,7,5,1,stimuli copy/chuttersnap-6ELMRvIuJ1g-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
9.74395752,-25.85784912,1,0,0,2.035,image,,0,8,8,15,1,stimuli copy/jake-remy-QBAMncfwXr8-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
33.98040771,-71.19482422,1,0,0,2.8845,image,,0,9,9,22,1,stimuli copy/marek-mucha-PfmNfCXcrdw-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
10.47821045,76.99731445,1,0,0,2.8727,image,,0,10,10,18,1,stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
115.0643311,96.22332764,1,0,0,4.4579,image,,0,11,11,30,1,stimuli copy/samuel-clara-HkZVyO9l_Ig-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
-130.9085693,34.85473633,1,0,0,1.6031,image,,0,12,12,8,1,stimuli copy/darya-sev-QRdX9dO8poY-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
37.80889893,-124.3952026,1,0,0,1.7056,image,,0,13,13,24,1,stimuli copy/max-saeling-ymfYqeKN-FU-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
33.4586792,-16.89050293,1,0,0,1.7921,image,,0,14,14,14,1,stimuli copy/jack-b-JYZYRF0j_Uc-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
161.3933105,-78.6607666,1,0,0,1.9681,image,,0,15,15,3,1,stimuli copy/arjun-kapoor-Om3JbZp3CCo-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
0.30645752,-2.515258789,1,0,0,2.6676,image,,0,16,16,20,1,stimuli copy/long-truong-vRepMA0VQ54-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
97.08105469,117.6829834,1,0,0,1.7409,image,,0,17,17,1,1,stimuli copy/alexandre-chambon-ADqQgiStp4c-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
10.87963867,110.9279785,1,0,0,1.7865,image,,0,18,18,23,1,stimuli copy/mathew-schwartz-3z56aMRpjJ0-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
-39.76708984,-34.44396973,1,0,0,2.7816,image,,0,19,19,0,1,stimuli copy/aaron-burden-xNsoHwvoHnY-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
5.735351563,-161.0175781,1,0,0,1.8979,image,,0,20,20,17,1,stimuli copy/jared-rice-WbOn78k-ywU-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
130.7539063,-118.9386597,1,0,0,1.3512,image,,0,21,21,29,1,stimuli copy/ryan-wu-9R5FnAn5tYM-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
9.331787109,-32.21374512,1,0,0,1.831,image,,0,22,22,9,1,stimuli copy/dave-hoefler-oi65oz2xNag-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
9.331787109,-32.21374512,1,0,0,1.4509,image,,0,23,23,25,1,stimuli copy/michel-kimkongrath-EWpsHYyDL34-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
-140.331665,168.9219666,1,0,0,1.7837,image,,0,24,24,4,1,stimuli copy/chris-leipelt-fqoHScXjiW4-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
164.3425293,-5.90625,1,0,0,1.4376,image,,0,25,25,11,1,stimuli copy/drew-farwell-ScLYGfuCqQg-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
129.4030762,63.26849365,1,0,0,1.6638,image,,0,26,26,7,1,stimuli copy/daniela-cuevas-t7YycgAoVSw-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
33.59576416,-60.73693848,1,0,0,1.3031,image,,0,27,27,21,1,stimuli copy/mae-mu-KXq1wGn_OXI-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
-51.53143311,-22.38171387,1,0,0,1.5688,image,,0,28,28,28,1,stimuli copy/ori-song-eK2YZq4a0fU-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
-13.55712891,145.2393494,1,0,0,1.7073,image,,0,29,29,27,1,stimuli copy/natalya-letunova-eCfCIwtKdsg-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
17.39715576,27.67059326,1,0,0,1.516,image,,0,30,30,26,1,stimuli copy/mwangi-gatheca-hvvNY6b8pE0-unsplash.jpeg,anika,001,2022-04-19_15h08.03.108,9.60trial3,2021.2.3,MacIntel,60.0024001
