mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,participant,session,date,expName,psychopyVersion,OS,frameRate
0.45703125,-1.6015625,1,0,0,2.795,image,,0,0,0,20,1,stimuli copy/long-truong-vRepMA0VQ54-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
80.765625,37.75390625,1,0,0,4.6557,image,,0,1,1,6,1,stimuli copy/daniel-mirlea-w4lzk2_Yasc-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
9.4453125,100.8828125,1,0,0,4.0022,image,,0,2,2,23,1,stimuli copy/mathew-schwartz-3z56aMRpjJ0-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
68.42578125,9.1171875,1,0,0,4.2273,image,,0,3,3,30,1,stimuli copy/samuel-clara-HkZVyO9l_Ig-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
,,,,,,,,0,4,4,26,1,stimuli copy/mwangi-gatheca-hvvNY6b8pE0-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
143.109375,-105.15625,1,0,0,1.945,image,,0,5,5,29,1,stimuli copy/ryan-wu-9R5FnAn5tYM-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
58.48828125,58.15234375,1,0,0,1.352,image,,0,6,6,7,1,stimuli copy/daniela-cuevas-t7YycgAoVSw-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
18.1953125,29.51953125,1,0,0,1.3077,image,,0,7,7,15,1,stimuli copy/jake-remy-QBAMncfwXr8-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
73.7578125,19.9609375,1,0,0,2.468,image,,0,8,8,1,1,stimuli copy/alexandre-chambon-ADqQgiStp4c-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
-34.83203125,93.53515625,1,0,0,1.5875,image,,0,9,9,0,1,stimuli copy/aaron-burden-xNsoHwvoHnY-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
10.34375,-22.48828125,1,0,0,1.9238,image,,0,10,10,25,1,stimuli copy/michel-kimkongrath-EWpsHYyDL34-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
20.8984375,105.7421875,1,0,0,3.1354,image,,0,11,11,19,1,stimuli copy/library-of-congress-VFTxZaIsDAs-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
-44.37890625,-79.390625,1,0,0,2.7701,image,,0,12,12,12,1,stimuli copy/eberhard-grossgasteiger-fTlXjG24mQ0-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
-7.375,-26.0859375,1,0,0,1.3009,image,,0,13,13,9,1,stimuli copy/dave-hoefler-oi65oz2xNag-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
-26.109375,160.5742188,1,0,0,2.4651,image,,0,14,14,27,1,stimuli copy/natalya-letunova-eCfCIwtKdsg-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
-2.35546875,73.41796875,1,0,0,2.2835,image,,0,15,15,11,1,stimuli copy/drew-farwell-ScLYGfuCqQg-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
51.05078125,3.7109375,1,0,0,2.0777,image,,0,16,16,3,1,stimuli copy/arjun-kapoor-Om3JbZp3CCo-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
15.34765625,163.4453125,1,0,0,4.143,image,,0,17,17,10,1,stimuli copy/diego-ph-xW42e724p00-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
31.71875,-63.95703125,1,0,0,2.6683,image,,0,18,18,22,1,stimuli copy/marek-mucha-PfmNfCXcrdw-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
4.8671875,49.0078125,1,0,0,1.4014,image,,0,19,19,18,1,stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
46.2578125,-101.8515625,1,0,0,1.3574,image,,0,20,20,24,1,stimuli copy/max-saeling-ymfYqeKN-FU-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
-70.19921875,12.9375,1,0,0,1.8084,image,,0,21,21,4,1,stimuli copy/chris-leipelt-fqoHScXjiW4-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
35.26171875,84.21875,1,0,0,3.9459,image,,0,22,22,13,1,stimuli copy/gritt-zheng-K88BVN6yMrU-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
-158.3710938,37.2265625,1,0,0,3.4493,image,,0,23,23,8,1,stimuli copy/darya-sev-QRdX9dO8poY-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
-38.31640625,73.8046875,1,0,0,2.6192,image,,0,24,24,5,1,stimuli copy/chuttersnap-6ELMRvIuJ1g-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
38.0390625,-52.21484375,1,0,0,1.7848,image,,0,25,25,21,1,stimuli copy/mae-mu-KXq1wGn_OXI-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
0.828125,-100.9453125,1,0,0,3.3762,image,,0,26,26,17,1,stimuli copy/jared-rice-WbOn78k-ywU-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
-56.23828125,-17.76953125,1,0,0,2.8366,image,,0,27,27,28,1,stimuli copy/ori-song-eK2YZq4a0fU-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
-77.57421875,-92.03515625,1,0,0,2.4772,image,,0,28,28,16,1,stimuli copy/james-haworth-Hm7BtNRT6eE-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
-15.8984375,18.609375,1,0,0,1.433,image,,0,29,29,14,1,stimuli copy/jack-b-JYZYRF0j_Uc-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
80.25390625,21.296875,1,0,0,1.4569,image,,0,30,30,2,1,stimuli copy/anthony-intraversato-xr43RescWSA-unsplash.jpeg,enh,001,2022-04-19_17h27.04.544,9.60trial3,2021.2.3,MacIntel,120.0048002
