mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,participant,session,date,expName,psychopyVersion,OS,frameRate
-59.671875,-22.16796875,1,0,0,1.454,image,,0,0,0,4,1,stimuli copy/chris-leipelt-fqoHScXjiW4-unsplash.jpeg,shawna,001,2022-04-19_14h56.40.861,9.60trial3,2021.2.3,MacIntel,59.99880002
-108.7695313,-9.1875,1,0,0,2.2481,image,,0,1,1,8,1,stimuli copy/darya-sev-QRdX9dO8poY-unsplash.jpeg,shawna,001,2022-04-19_14h56.40.861,9.60trial3,2021.2.3,MacIntel,59.99880002
-9.95703125,155.3085938,1,0,0,2.1972,image,,0,2,2,27,1,stimuli copy/natalya-letunova-eCfCIwtKdsg-unsplash.jpeg,shawna,001,2022-04-19_14h56.40.861,9.60trial3,2021.2.3,MacIntel,59.99880002
-25.66015625,74.7421875,1,0,0,1.046,image,,0,3,3,0,1,stimuli copy/aaron-burden-xNsoHwvoHnY-unsplash.jpeg,shawna,001,2022-04-19_14h56.40.861,9.60trial3,2021.2.3,MacIntel,59.99880002
-57.89453125,23.53125,1,0,0,3.3316,image,,0,4,4,10,1,stimuli copy/diego-ph-xW42e724p00-unsplash.jpeg,shawna,001,2022-04-19_14h56.40.861,9.60trial3,2021.2.3,MacIntel,59.99880002
-14.79296875,23.36328125,1,0,0,1.7147,image,,0,5,5,14,1,stimuli copy/jack-b-JYZYRF0j_Uc-unsplash.jpeg,shawna,001,2022-04-19_14h56.40.861,9.60trial3,2021.2.3,MacIntel,59.99880002
-110.1757813,-163.6914063,1,0,0,2.416,image,,0,6,6,6,1,stimuli copy/daniel-mirlea-w4lzk2_Yasc-unsplash.jpeg,shawna,001,2022-04-19_14h56.40.861,9.60trial3,2021.2.3,MacIntel,59.99880002
-33.08984375,134.5273438,1,0,0,1.4482,image,,0,7,7,16,1,stimuli copy/james-haworth-Hm7BtNRT6eE-unsplash.jpeg,shawna,001,2022-04-19_14h56.40.861,9.60trial3,2021.2.3,MacIntel,59.99880002
4.93359375,-50.68359375,1,0,0,1.2972,image,,0,8,8,26,1,stimuli copy/mwangi-gatheca-hvvNY6b8pE0-unsplash.jpeg,shawna,001,2022-04-19_14h56.40.861,9.60trial3,2021.2.3,MacIntel,59.99880002
-7.09375,-23.26953125,1,0,0,1.6871,image,,0,9,9,9,1,stimuli copy/dave-hoefler-oi65oz2xNag-unsplash.jpeg,shawna,001,2022-04-19_14h56.40.861,9.60trial3,2021.2.3,MacIntel,59.99880002
87.5390625,14.33984375,1,0,0,1.6665,image,,0,10,10,2,1,stimuli copy/anthony-intraversato-xr43RescWSA-unsplash.jpeg,shawna,001,2022-04-19_14h56.40.861,9.60trial3,2021.2.3,MacIntel,59.99880002
4.37890625,30.5546875,1,0,0,1.8158,image,,0,11,11,18,1,stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,shawna,001,2022-04-19_14h56.40.861,9.60trial3,2021.2.3,MacIntel,59.99880002
