mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.002674788,0.12806762,1,0,1,1.9472,image,,0,0,0,5,1,stimuli copy/chuttersnap-6ELMRvIuJ1g-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.002674788,0.12806762,0,0,1,0.2112,image,,0,1,1,30,1,stimuli copy/samuel-clara-HkZVyO9l_Ig-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.078367761,0.06394774,1,0,1,1.0522,image,,0,2,2,19,1,stimuli copy/library-of-congress-VFTxZaIsDAs-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.078367761,0.06394774,0,0,1,0.0878,image,,0,3,3,26,1,stimuli copy/mwangi-gatheca-hvvNY6b8pE0-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.030693856,-0.03237553,1,0,1,0.9772,image,,0,4,4,25,1,stimuli copy/michel-kimkongrath-EWpsHYyDL34-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.030693856,-0.03237553,0,0,1,0.1632,image,,0,5,5,29,1,stimuli copy/ryan-wu-9R5FnAn5tYM-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.023861229,-0.026324153,1,0,1,0.8992,image,,0,6,6,0,1,stimuli copy/aaron-burden-xNsoHwvoHnY-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.023861229,-0.026324153,0,0,1,0.2103,image,,0,7,7,24,1,stimuli copy/max-saeling-ymfYqeKN-FU-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.125644421,-0.067633298,1,0,1,1.5057,image,,0,8,8,3,1,stimuli copy/arjun-kapoor-Om3JbZp3CCo-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.125644421,-0.067633298,0,0,1,0.1914,image,,0,9,9,12,1,stimuli copy/eberhard-grossgasteiger-fTlXjG24mQ0-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.03561529,0.034935558,1,0,1,1.1894,image,,0,10,10,10,1,stimuli copy/diego-ph-xW42e724p00-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.03561529,0.034935558,0,0,1,0.1634,image,,0,11,11,18,1,stimuli copy/jordan-graff-87111nn8z_w-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.011493644,0.008222987,1,0,1,1.3996,image,,0,12,12,14,1,stimuli copy/jack-b-JYZYRF0j_Uc-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.011493644,0.008222987,0,0,1,0.1312,image,,0,13,13,21,1,stimuli copy/mae-mu-KXq1wGn_OXI-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.075745939,0.100419315,1,0,1,1.2338,image,,0,14,14,1,1,stimuli copy/alexandre-chambon-ADqQgiStp4c-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.075745939,0.100419315,0,0,1,0.2419,image,,0,15,15,15,1,stimuli copy/jake-remy-QBAMncfwXr8-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.004444739,-0.07702154,1,0,1,0.9396,image,,0,16,16,8,1,stimuli copy/darya-sev-QRdX9dO8poY-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.004444739,-0.07702154,0,0,1,0.1975,image,,0,17,17,2,1,stimuli copy/anthony-intraversato-xr43RescWSA-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.187654484,-0.089296434,1,0,1,1.2829,image,,0,18,18,13,1,stimuli copy/gritt-zheng-K88BVN6yMrU-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.187654484,-0.089296434,0,0,1,0.3255,image,,0,19,19,6,1,stimuli copy/daniel-mirlea-w4lzk2_Yasc-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.009070445,0.083456921,1,0,1,0.9889,image,,0,20,20,23,1,stimuli copy/mathew-schwartz-3z56aMRpjJ0-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.009070445,0.083456921,0,0,1,0.2185,image,,0,21,21,17,1,stimuli copy/jared-rice-WbOn78k-ywU-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.065664725,0.06076536,1,0,1,1.2793,image,,0,22,22,7,1,stimuli copy/daniela-cuevas-t7YycgAoVSw-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
0.065664725,0.06076536,0,0,1,0.2368,image,,0,23,23,27,1,stimuli copy/natalya-letunova-eCfCIwtKdsg-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.024373234,0.045458157,1,0,1,0.8285,image,,0,24,24,16,1,stimuli copy/james-haworth-Hm7BtNRT6eE-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.024373234,0.045458157,0,0,1,0.1975,image,,0,25,25,22,1,stimuli copy/marek-mucha-PfmNfCXcrdw-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.104775777,0.135544668,1,0,1,0.9833,image,,0,26,26,4,1,stimuli copy/chris-leipelt-fqoHScXjiW4-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.104775777,0.135544668,0,0,1,0.1719,image,,0,27,27,20,1,stimuli copy/long-truong-vRepMA0VQ54-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.057666843,0.025516419,1,0,1,0.9768,image,,0,28,28,28,1,stimuli copy/ori-song-eK2YZq4a0fU-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.057666843,0.025516419,0,0,1,0.1473,image,,0,29,29,11,1,stimuli copy/drew-farwell-ScLYGfuCqQg-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
-0.0231506,-0.028778249,1,0,1,0.966,image,,0,30,30,9,1,stimuli copy/dave-hoefler-oi65oz2xNag-unsplash.jpeg,o,001,2022-04-17_05h03.34.547,9.60trial3,2021.2.3,MacIntel,60.0024001
